maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha,
5,1,6,a,5-1-6-A,agnir hotā ny asīdad yajīyān upasthe mātuḥ surabhā u loke,"Agni hath sat him down, a Priest most skilful, on a sweet-smelling place, his Mother's bosom.",अग्निर्होता न्यसीदद्यजीयानुपस्थे मातुः सुरभा उ लोके,5-1-6,agniḥ | hotā | ni | asīdat | yajīyān | upa-sthe | mātuḥ | surabhau | ūm̐ iti | loke || yuvā | kaviḥ | puruniḥ-sthaḥ | r̥ta-vā | dhartā | kr̥ṣṭīnām | uta | madhye | iddhaḥ ||5.1.6||,
5,1,6,b,5-1-6-B,yuvā kaviḥ puruniṣṭha ṛtāvā dhartā kṛṣṭīnām uta madhya iddhaḥ,"Young, faithful, sage, preeminent o'er many, kindled among the folk whom he sustaineth.",युवा कविः पुरुनिष्ठ ऋतावा धर्ता कृष्टीनामुत मध्य इद्धः,5-1-6,agniḥ | hotā | ni | asīdat | yajīyān | upa-sthe | mātuḥ | surabhau | ūm̐ iti | loke || yuvā | kaviḥ | puruniḥ-sthaḥ | r̥ta-vā | dhartā | kr̥ṣṭīnām | uta | madhye | iddhaḥ ||5.1.6||,
5,1,7,a,5-1-7-A,pra ṇu tyaṁ vipram adhvareṣu sādhum agniṁ hotāram īḻate namobhiḥ,"This Singer excellent at sacrifices, Agni the Priest, they glorify with homage.",प्र णु त्यं विप्रमध्वरेषु साधुमग्निं होतारमीळते नमोभिः,5-1-7,pra | nu | tyam | vipram | adhvareṣu | sādhum | agnim | hotāram | īḷate | namaḥ-bhiḥ || ā | yaḥ | tatāna | rodasī iti | r̥tena | nityam | mr̥janti | vājinam | ghr̥tena ||5.1.7||,
5,1,7,b,5-1-7-B,ā yas tatāna rodasī ṛtena nityam mṛjanti vājinaṁ ghṛtena,"Him who spread out both worlds by Law Eternal they balm with oil, strong Steed who never faileth.",आ यस्ततान रोदसी ऋतेन नित्यं मृजन्ति वाजिनं घृतेन,5-1-7,pra | nu | tyam | vipram | adhvareṣu | sādhum | agnim | hotāram | īḷate | namaḥ-bhiḥ || ā | yaḥ | tatāna | rodasī iti | r̥tena | nityam | mr̥janti | vājinam | ghr̥tena ||5.1.7||,
5,1,8,a,5-1-8-A,mārjālyo mṛjyate sve damūnāḥ kavipraśasto atithiḥ śivo naḥ,"He, worshipful House-Friend, in his home is worshipped, our own auspicious guest, lauded by sages.",मार्जाल्यो मृज्यते स्वे दमूनाः कविप्रशस्तो अतिथिः शिवो नः,5-1-8,mārjālyaḥ | mr̥jyate | sve | damūnāḥ | kavi-praśastaḥ | atithiḥ | śivaḥ | naḥ || sahasra-śr̥ṅgaḥ | vr̥ṣabhaḥ | tat-ojāḥ | viśvān | agne | sahasā | pra | asi | anyān ||5.1.8||,
5,1,8,b,5-1-8-B,sahasraśṛṅgo vṛṣabhas tadojā viśvām̐ agne sahasā prāsy anyān,"That strength the Bull with thousand horns possesses. In might, O Agni, thou excellest others.",सहस्रशृङ्गो वृषभस्तदोजा विश्वाँ अग्ने सहसा प्रास्यन्यान्,5-1-8,mārjālyaḥ | mr̥jyate | sve | damūnāḥ | kavi-praśastaḥ | atithiḥ | śivaḥ | naḥ || sahasra-śr̥ṅgaḥ | vr̥ṣabhaḥ | tat-ojāḥ | viśvān | agne | sahasā | pra | asi | anyān ||5.1.8||,
5,1,9,a,5-1-9-A,pra sadyo agne aty eṣy anyān āvir yasmai cārutamo babhūtha,"Thou quickly passest by all others, Agni, for him to whom thou hast appeared most lovely,",प्र सद्यो अग्ने अत्येष्यन्यानाविर्यस्मै चारुतमो बभूथ,5-1-9,pra | sadyaḥ | agne | ati | eṣi | anyān | āviḥ | yasmai | cāru-tamaḥ | babhūtha || īḷenyaḥ | vapuṣyaḥ | vibhā-vā | priyaḥ | viśām | atithiḥ | mānuṣīṇām ||5.1.9||,
5,1,9,b,5-1-9-B,īḻenyo vapuṣyo vibhāvā priyo viśām atithir mānuṣīṇām,"Wondrously fair, adorable, effulgent, the guest of men, the darling of the people.",ईळेन्यो वपुष्यो विभावा प्रियो विशामतिथिर्मानुषीणाम्,5-1-9,pra | sadyaḥ | agne | ati | eṣi | anyān | āviḥ | yasmai | cāru-tamaḥ | babhūtha || īḷenyaḥ | vapuṣyaḥ | vibhā-vā | priyaḥ | viśām | atithiḥ | mānuṣīṇām ||5.1.9||,
5,1,10,a,5-1-10-A,tubhyam bharanti kṣitayo yaviṣṭha balim agne antita ota dūrāt,"To thee, Most Youthful God! to thee, O Agni from near and far the people bring their tribute.",तुभ्यं भरन्ति क्षितयो यविष्ठ बलिमग्ने अन्तित ओत दूरात्,5-1-10,tubhyam | bharanti | kṣitayaḥ | yaviṣṭha | balim | agne | antitaḥ | ā | uta | dūrāt || ā | bhandiṣṭhasya | su-matim | cikiddhi | br̥hat | te | agne | mahi | śarma | bhadram ||5.1.10||,
5,1,10,b,5-1-10-B,ā bhandiṣṭhasya sumatiṁ cikiddhi bṛhat te agne mahi śarma bhadram,"Mark well the prayer of him who best extols thee. Great, high, auspicious, Agni, is thy shelter.",आ भन्दिष्ठस्य सुमतिं चिकिद्धि बृहत्ते अग्ने महि शर्म भद्रम्,5-1-10,tubhyam | bharanti | kṣitayaḥ | yaviṣṭha | balim | agne | antitaḥ | ā | uta | dūrāt || ā | bhandiṣṭhasya | su-matim | cikiddhi | br̥hat | te | agne | mahi | śarma | bhadram ||5.1.10||,
5,1,11,a,5-1-11-A,ādya ratham bhānumo bhānumantam agne tiṣṭha yajatebhiḥ samantam,"Ascend to-day thy splendid car, O Agni, in splendour, with the Holy Ones around it.",आद्य रथं भानुमो भानुमन्तमग्ने तिष्ठ यजतेभिः समन्तम्,5-1-11,ā | adya | ratham | bhānu-maḥ | bhānu-mantam | agne | tiṣṭha | yajatebhiḥ | sam-antam || vidvān | pathīnām | uru | antarikṣam | ā | iha | devān | haviḥ-adyāya | vakṣi ||5.1.11||,
5,1,11,b,5-1-11-B,vidvān pathīnām urv antarikṣam eha devān haviradyāya vakṣi,Knowing the paths by mid-air's spacious region bring hither Gods to feast on our oblation.,विद्वान्पथीनामुर्वन्तरिक्षमेह देवान्हविरद्याय वक्षि,5-1-11,ā | adya | ratham | bhānu-maḥ | bhānu-mantam | agne | tiṣṭha | yajatebhiḥ | sam-antam || vidvān | pathīnām | uru | antarikṣam | ā | iha | devān | haviḥ-adyāya | vakṣi ||5.1.11||,
5,1,12,a,5-1-12-A,avocāma kavaye medhyāya vaco vandāru vṛṣabhāya vṛṣṇe,"To him adorable, sage, strong and mighty we have sung forth our song of praise and homage.",अवोचाम कवये मेध्याय वचो वन्दारु वृषभाय वृष्णे,5-1-12,avocāma | kavaye | medhyāya | vacaḥ | vandāru | vr̥ṣabhāya | vr̥ṣṇe || gaviṣṭhiraḥ | namasā | stomam | agnau | divi-iva | rukmam | uru-vyañcam | aśret ||5.1.12||,
5,1,12,b,5-1-12-B,gaviṣṭhiro namasā stomam agnau divīva rukmam uruvyañcam aśret,"Gavisthira hath raised with prayer to Agni this laud far-reaching, like gold light to heaven.",गविष्ठिरो नमसा स्तोममग्नौ दिवीव रुक्ममुरुव्यञ्चमश्रेत्,5-1-12,avocāma | kavaye | medhyāya | vacaḥ | vandāru | vr̥ṣabhāya | vr̥ṣṇe || gaviṣṭhiraḥ | namasā | stomam | agnau | divi-iva | rukmam | uru-vyañcam | aśret ||5.1.12||,
5,2,1,a,5-2-1-A,kumāram mātā yuvatiḥ samubdhaṁ guhā bibharti na dadāti pitre,"THE youthful Mother keeps the Boy in secret pressed to her close, nor yields him to the Father.",कुमारं माता युवतिः समुब्धं गुहा बिभर्ति न ददाति पित्रे,5-2-1,kumāram | mātā | yuvatiḥ | sam-ubdham | guhā | bibharti | na | dadāti | pitre || anīkam | asya | na | minat | janāsaḥ | puraḥ | paśyanti | ni-hitam | aratau ||5.2.1||,
5,2,1,b,5-2-1-B,anīkam asya na minaj janāsaḥ puraḥ paśyanti nihitam aratau,"But, when he lies upon the arm, the people see his unfading countenance before them.",अनीकमस्य न मिनज्जनासः पुरः पश्यन्ति निहितमरतौ,5-2-1,kumāram | mātā | yuvatiḥ | sam-ubdham | guhā | bibharti | na | dadāti | pitre || anīkam | asya | na | minat | janāsaḥ | puraḥ | paśyanti | ni-hitam | aratau ||5.2.1||,
5,2,2,a,5-2-2-A,kam etaṁ tvaṁ yuvate kumāram peṣī bibharṣi mahiṣī jajāna,"What child is this thou carriest as handmaid, O Youthful One? The Consort-Queen hath bome him.",कमेतं त्वं युवते कुमारं पेषी बिभर्षि महिषी जजान,5-2-2,kam | etam | tvam | yuvate | kumāram | peṣī | bibharṣi | mahiṣī | jajāna || pūrvīḥ | hi | garbhaḥ | śaradaḥ | vavardha | apaśyam | jātam | yat | asūta | mātā ||5.2.2||,
5,2,2,b,5-2-2-B,pūrvīr hi garbhaḥ śarado vavardhāpaśyaṁ jātaṁ yad asūta mātā,The Babe unborn increased through many autumns. I saw him born what time his Mother bare him.,पूर्वीर्हि गर्भः शरदो ववर्धापश्यं जातं यदसूत माता,5-2-2,kam | etam | tvam | yuvate | kumāram | peṣī | bibharṣi | mahiṣī | jajāna || pūrvīḥ | hi | garbhaḥ | śaradaḥ | vavardha | apaśyam | jātam | yat | asūta | mātā ||5.2.2||,
5,2,3,a,5-2-3-A,hiraṇyadantaṁ śucivarṇam ārāt kṣetrād apaśyam āyudhā mimānam,"I saw him from afar gold-toothed, bright-coloured, hurling his weapons from his habitation,",हिरण्यदन्तं शुचिवर्णमारात्क्षेत्रादपश्यमायुधा मिमानम्,5-2-3,hiraṇya-dantam | śuci-varṇam | ārāt | kṣetrāt | apaśyam | āyudhā | mimānam || dadānaḥ | asmai | amr̥tam | vipr̥kvat | kim | mām | anindrāḥ | kr̥ṇavan | anukthāḥ ||5.2.3||,
5,2,3,b,5-2-3-B,dadāno asmā amṛtaṁ vipṛkvat kim mām anindrāḥ kṛṇavann anukthāḥ,"What time I gave him Amrta free from mixture. How can the Indraless, the hymnless harm me?",ददानो अस्मा अमृतं विपृक्वत्किं मामनिन्द्राः कृणवन्ननुक्थाः,5-2-3,hiraṇya-dantam | śuci-varṇam | ārāt | kṣetrāt | apaśyam | āyudhā | mimānam || dadānaḥ | asmai | amr̥tam | vipr̥kvat | kim | mām | anindrāḥ | kr̥ṇavan | anukthāḥ ||5.2.3||,
5,2,4,a,5-2-4-A,kṣetrād apaśyaṁ sanutaś carantaṁ sumad yūthaṁ na puru śobhamānam,"I saw him moving from the place he dwells in, even as with a herd, brilliantly shining.",क्षेत्रादपश्यं सनुतश्चरन्तं सुमद्यूथं न पुरु शोभमानम्,5-2-4,kṣetrāt | apaśyam | sanutariti | carantam | su-mat | yūtham | na | puru | śobhamānam || na | tāḥ | agr̥bhran | ajaniṣṭa | hi | saḥ | paliknīḥ | it | yuvatayaḥ | bhavanti ||5.2.4||,
5,2,4,b,5-2-4-B,na tā agṛbhrann ajaniṣṭa hi ṣaḥ paliknīr id yuvatayo bhavanti,These seized him not: he had been born already. They who were grey with age again grow youthful.,न ता अगृभ्रन्नजनिष्ट हि षः पलिक्नीरिद्युवतयो भवन्ति,5-2-4,kṣetrāt | apaśyam | sanutariti | carantam | su-mat | yūtham | na | puru | śobhamānam || na | tāḥ | agr̥bhran | ajaniṣṭa | hi | saḥ | paliknīḥ | it | yuvatayaḥ | bhavanti ||5.2.4||,
5,2,5,a,5-2-5-A,ke me maryakaṁ vi yavanta gobhir na yeṣāṁ gopā araṇaś cid āsa,"Who separate my young bull from the cattle, they whose protector was in truth no stranger?",के मे मर्यकं वि यवन्त गोभिर्न येषां गोपा अरणश्चिदास,5-2-5,ke | me | maryakam | vi | yavanta | gobhiḥ | na | yeṣām | gopāḥ | araṇaḥ | cit | āsa || ye | īm | jagr̥bhuḥ | ava | te | sr̥jantu | ā | ajāti | paśvaḥ | upa | naḥ | cikitvān ||5.2.5||,
5,2,5,b,5-2-5-B,ya īṁ jagṛbhur ava te sṛjantv ājāti paśva upa naś cikitvān,"Let those whose hands have seized upon them free them. May he, observant, drive the herd to us-ward.",य ईं जगृभुरव ते सृजन्त्वाजाति पश्व उप नश्चिकित्वान्,5-2-5,ke | me | maryakam | vi | yavanta | gobhiḥ | na | yeṣām | gopāḥ | araṇaḥ | cit | āsa || ye | īm | jagr̥bhuḥ | ava | te | sr̥jantu | ā | ajāti | paśvaḥ | upa | naḥ | cikitvān ||5.2.5||,
5,2,6,a,5-2-6-A,vasāṁ rājānaṁ vasatiṁ janānām arātayo ni dadhur martyeṣu,"Mid mortal men godless have secreted the King of all who live, home of the people.",वसां राजानं वसतिं जनानामरातयो नि दधुर्मर्त्येषु,5-2-6,vasām | rājānam | vasatim | janānām | arātayaḥ | ni | dadhuḥ | martyeṣu || brahmāṇi | atreḥ | ava | tam | sr̥jantu | ninditāraḥ | nindyāsaḥ | bhavantu ||5.2.6||,
5,2,6,b,5-2-6-B,brahmāṇy atrer ava taṁ sṛjantu ninditāro nindyāso bhavantu,So may the prayers of Atri give him freedom. Reproached in turn be those who now reproach him.,ब्रह्माण्यत्रेरव तं सृजन्तु निन्दितारो निन्द्यासो भवन्तु,5-2-6,vasām | rājānam | vasatim | janānām | arātayaḥ | ni | dadhuḥ | martyeṣu || brahmāṇi | atreḥ | ava | tam | sr̥jantu | ninditāraḥ | nindyāsaḥ | bhavantu ||5.2.6||,
5,2,7,a,5-2-7-A,śunaś cic chepaṁ niditaṁ sahasrād yūpād amuñco aśamiṣṭa hi ṣaḥ,Thou from the stake didst loose e'en Sunahsepa bound for a thousand; for he prayed with fervour.,शुनश्चिच्छेपं निदितं सहस्राद्यूपादमुञ्चो अशमिष्ट हि षः,5-2-7,śunaḥ-śepam | cit | ni-ditam | sahasrāt | yūpāt | amuñcaḥ | aśamiṣṭa | hi | saḥ || eva | asmat | agne | vi | mumugdhi | pāsān | hotariti | cikitvaḥ | iha | tu | ni-sadya ||5.2.7||,
5,2,7,b,5-2-7-B,evāsmad agne vi mumugdhi pāśān hotaś cikitva iha tū niṣadya,"So, Agni, loose from us the bonds that bind us, when thou art seated here, O Priest who knowest.",एवास्मदग्ने वि मुमुग्धि पाशान्होतश्चिकित्व इह तू निषद्य,5-2-7,śunaḥ-śepam | cit | ni-ditam | sahasrāt | yūpāt | amuñcaḥ | aśamiṣṭa | hi | saḥ || eva | asmat | agne | vi | mumugdhi | pāsān | hotariti | cikitvaḥ | iha | tu | ni-sadya ||5.2.7||,
5,2,8,a,5-2-8-A,hṛṇīyamāno apa hi mad aiyeḥ pra me devānāṁ vratapā uvāca,"Thou hast sped from me, Agni, in thine anger: this the protector of Gods' Laws hath told me.",हृणीयमानो अप हि मदैयेः प्र मे देवानां व्रतपा उवाच,5-2-8,hr̥ṇīyamānaḥ | apa | hi | mat | aiyeḥ | pra | me | devānām | vrata-pāḥ | uvāca || indraḥ | vidvān | anu | hi | tvā | cacakṣa | tena | aham | agne | anu-śiṣṭaḥ | ā | agām ||5.2.8||,
5,2,8,b,5-2-8-B,indro vidvām̐ anu hi tvā cacakṣa tenāham agne anuśiṣṭa āgām,"Indra who knoweth bent his eye upon thee: by him instructed am I come, O Agni.",इन्द्रो विद्वाँ अनु हि त्वा चचक्ष तेनाहमग्ने अनुशिष्ट आगाम्,5-2-8,hr̥ṇīyamānaḥ | apa | hi | mat | aiyeḥ | pra | me | devānām | vrata-pāḥ | uvāca || indraḥ | vidvān | anu | hi | tvā | cacakṣa | tena | aham | agne | anu-śiṣṭaḥ | ā | agām ||5.2.8||,
5,2,9,a,5-2-9-A,vi jyotiṣā bṛhatā bhāty agnir āvir viśvāni kṛṇute mahitvā,"Agni shines far and wide with lofty splendour, and by his greatness makes all things apparent.",वि ज्योतिषा बृहता भात्यग्निराविर्विश्वानि कृणुते महित्वा,5-2-9,vi | jyotiṣā | br̥hatā | bhāti | agniḥ | āviḥ | viśvāni | kr̥ṇute | mahi-tvā || pra | adevīḥ | māyāḥ | sahate | duḥ-evāḥ | śiśīte | śr̥ṅge iti | rakṣase | vi-nikṣe ||5.2.9||,
5,2,9,b,5-2-9-B,prādevīr māyāḥ sahate durevāḥ śiśīte śṛṅge rakṣase vinikṣe,"He conquers godless and malign enchantments, and sharpens both his horns to gore the Raksas.",प्रादेवीर्मायाः सहते दुरेवाः शिशीते शृङ्गे रक्षसे विनिक्षे,5-2-9,vi | jyotiṣā | br̥hatā | bhāti | agniḥ | āviḥ | viśvāni | kr̥ṇute | mahi-tvā || pra | adevīḥ | māyāḥ | sahate | duḥ-evāḥ | śiśīte | śr̥ṅge iti | rakṣase | vi-nikṣe ||5.2.9||,
5,2,10,a,5-2-10-A,uta svānāso divi ṣantv agnes tigmāyudhā rakṣase hantavā u,Loud in the heaven above be Agni's roarings with keen-edged weapons to destroy the demons.,उत स्वानासो दिवि षन्त्वग्नेस्तिग्मायुधा रक्षसे हन्तवा उ,5-2-10,uta | svānāsaḥ | divi | santu | agneḥ | tigma-āyudhāḥ | rakṣase | hantavai | ūm̐ iti || made | cit | asya | pra | rujanti | bhāmāḥ | na | varante | pari-bādhaḥ | adevīḥ ||5.2.10||,
5,2,10,b,5-2-10-B,made cid asya pra rujanti bhāmā na varante paribādho adevīḥ,Forth burst his splendours in the Soma's rapture. The godless bands press round but cannot stayhim.,मदे चिदस्य प्र रुजन्ति भामा न वरन्ते परिबाधो अदेवीः,5-2-10,uta | svānāsaḥ | divi | santu | agneḥ | tigma-āyudhāḥ | rakṣase | hantavai | ūm̐ iti || made | cit | asya | pra | rujanti | bhāmāḥ | na | varante | pari-bādhaḥ | adevīḥ ||5.2.10||,
5,2,11,a,5-2-11-A,etaṁ te stomaṁ tuvijāta vipro rathaṁ na dhīraḥ svapā atakṣam,"As a skilled craftsman makes a car, a singer I, Mighty One! this hymn for thee have fashioned.",एतं ते स्तोमं तुविजात विप्रो रथं न धीरः स्वपा अतक्षम्,5-2-11,etam | te | stomam | tuvi-jāta | vipraḥ | ratham | na | dhīraḥ | su-apāḥ | atakṣam || yadi | it | agne | prati | tvam | deva | haryāḥ | svaḥ-vatīḥ | apaḥ | ena | jayema ||5.2.11||,
5,2,11,b,5-2-11-B,yadīd agne prati tvaṁ deva haryāḥ svarvatīr apa enā jayema,"If thou, O Agni, God, accept it gladly, may we obtain thereby the heavenly Waters.",यदीदग्ने प्रति त्वं देव हर्याः स्वर्वतीरप एना जयेम,5-2-11,etam | te | stomam | tuvi-jāta | vipraḥ | ratham | na | dhīraḥ | su-apāḥ | atakṣam || yadi | it | agne | prati | tvam | deva | haryāḥ | svaḥ-vatīḥ | apaḥ | ena | jayema ||5.2.11||,
5,2,12,a,5-2-12-A,tuvigrīvo vṛṣabho vāvṛdhāno 'śatrv aryaḥ sam ajāti vedaḥ,"May he, the strong-necked Steer, waxing in vigour, gather the foeman's wealth with none to check him.",तुविग्रीवो वृषभो वावृधानोऽशत्र्वर्यः समजाति वेदः,5-2-12,tuvi-grīvaḥ | vr̥ṣabhaḥ | vavr̥dhānaḥ | aśatru | aryaḥ | sam | ajāti | vedaḥ || iti | imam | agnim | amr̥tāḥ | avocan | barhiṣmate | manave | śarma | yaṁsat | haviṣmate | manave | śarma | yaṁsat ||5.2.12||,
5,2,12,b,5-2-12-B,itīmam agnim amṛtā avocan barhiṣmate manave śarma yaṁsad dhaviṣmate manave śarma yaṁsat,"Thus to this Agni have the Immortals spoken. To man who spreads the grass may he grant shelter, grant s",इतीममग्निममृता अवोचन्बर्हिष्मते मनवे शर्म यंसद्धविष्मते मनवे शर्म यंसत्,5-2-12,tuvi-grīvaḥ | vr̥ṣabhaḥ | vavr̥dhānaḥ | aśatru | aryaḥ | sam | ajāti | vedaḥ || iti | imam | agnim | amr̥tāḥ | avocan | barhiṣmate | manave | śarma | yaṁsat | haviṣmate | manave | śarma | yaṁsat ||5.2.12||,
5,3,1,a,5-3-1-A,tvam agne varuṇo jāyase yat tvam mitro bhavasi yat samiddhaḥ,"THOU at thy birth art Varuna, O Agni; when thou art kindled thou becomest Mitra.",त्वमग्ने वरुणो जायसे यत्त्वं मित्रो भवसि यत्समिद्धः,5-3-1,tvam | agne | varuṇaḥ | jāyase | yat | tvam | mitraḥ | bhavasi | yat | sam-iddhaḥ || tve iti | viśve | sahasaḥ | putra | devāḥ | tvam | indraḥ | dāśuṣe | martyāya ||5.3.1||,
5,3,1,b,5-3-1-B,tve viśve sahasas putra devās tvam indro dāśuṣe martyāya,"In thee, O Son of Strength, all Gods are centred. Indra art thou to man who brings oblation.",त्वे विश्वे सहसस्पुत्र देवास्त्वमिन्द्रो दाशुषे मर्त्याय,5-3-1,tvam | agne | varuṇaḥ | jāyase | yat | tvam | mitraḥ | bhavasi | yat | sam-iddhaḥ || tve iti | viśve | sahasaḥ | putra | devāḥ | tvam | indraḥ | dāśuṣe | martyāya ||5.3.1||,
5,3,2,a,5-3-2-A,tvam aryamā bhavasi yat kanīnāṁ nāma svadhāvan guhyam bibharṣi,"Aryaman art thou as regardeth maidens mysterious, is thy name, O Self-sustainer.",त्वमर्यमा भवसि यत्कनीनां नाम स्वधावन्गुह्यं बिभर्षि,5-3-2,tvam | aryamā | bhavasi | yat | kanīnām | nāma | svadhā-van | guhyam | bibharṣi || añjanti | mitram | su-dhitam | na | gobhiḥ | yat | daṁpatī iti dam-patī | sa-manasā | kr̥ṇoṣi ||5.3.2||,
5,3,2,b,5-3-2-B,añjanti mitraṁ sudhitaṁ na gobhir yad dampatī samanasā kṛṇoṣi,As a kind friend with streams of milk they balm thee what time thou makcst wife and lord one-minded.,अञ्जन्ति मित्रं सुधितं न गोभिर्यद्दम्पती समनसा कृणोषि,5-3-2,tvam | aryamā | bhavasi | yat | kanīnām | nāma | svadhā-van | guhyam | bibharṣi || añjanti | mitram | su-dhitam | na | gobhiḥ | yat | daṁpatī iti dam-patī | sa-manasā | kr̥ṇoṣi ||5.3.2||,
5,3,3,a,5-3-3-A,tava śriye maruto marjayanta rudra yat te janima cāru citram,"The Maruts deck their beauty for thy glory, yea, Rudra! for thy birth fair, brightly-coloured.",तव श्रिये मरुतो मर्जयन्त रुद्र यत्ते जनिम चारु चित्रम्,5-3-3,tava | śriye | marutaḥ | marjayanta | rudra | yat | te | janima | cāru | citram || padam | yat | viṣṇoḥ | upa-mam | ni-dhāyi | tena | pāsi | guhyam | nāma | gonām ||5.3.3||,
