maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha,
7,1,10,b,7-1-10-B,ye me dhiyam panayanta praśastām,These who ipprove the noble song I sing thee.,ये मे धियं पनयन्त प्रशस्ताम् ,7-1-10,ime | naraḥ | vr̥tra-hatyeṣu | śūrāḥ | viśvāḥ | adevīḥ | abhi | santu | māyāḥ || ye | me | dhiyam | panayanta | pra-śastām ||7.1.10||,
7,1,11,a,7-1-11-A,mā śūne agne ni ṣadāma nṛṇām māśeṣaso 'vīratā pari tvā,"Let us not sit in want of men, O Agni, without descendants, heroleu, about thee:",मा शूने अग्ने नि षदाम नृणां माशेषसोऽवीरता परि त्वा,7-1-11,mā | śūne | agne | ni | sadāma | nr̥ṇām | mā | aśeṣasaḥ | avīratā | pari | tvā || prajā-vatīṣu | duryāsu | durya ||7.1.11||,
7,1,11,b,7-1-11-B,prajāvatīṣu duryāsu durya,"But, O House-Friend, in houses full of children.",प्रजावतीषु दुर्यासु दुर्य ,7-1-11,mā | śūne | agne | ni | sadāma | nr̥ṇām | mā | aśeṣasaḥ | avīratā | pari | tvā || prajā-vatīṣu | duryāsu | durya ||7.1.11||,
7,1,12,a,7-1-12-A,yam aśvī nityam upayāti yajñam prajāvantaṁ svapatyaṁ kṣayaṁ naḥ,"By sacrifice which the Steeds' Lord ever visits, there make our dwelling rich in seed and offspring,",यमश्वी नित्यमुपयाति यज्ञं प्रजावन्तं स्वपत्यं क्षयं नः,7-1-12,yam | aśvī | nityam | upa-yāti | yajñam | prajā-vantam | su-apatyam | kṣayam | naḥ || sva-janmanā | śeṣasā | vavr̥dhānam ||7.1.12||,
7,1,12,b,7-1-12-B,svajanmanā śeṣasā vāvṛdhānam,Increasing still with lineal successors.,स्वजन्मना शेषसा वावृधानम् ,7-1-12,yam | aśvī | nityam | upa-yāti | yajñam | prajā-vantam | su-apatyam | kṣayam | naḥ || sva-janmanā | śeṣasā | vavr̥dhānam ||7.1.12||,
7,1,13,a,7-1-13-A,pāhi no agne rakṣaso ajuṣṭāt pāhi dhūrter araruṣo aghāyoḥ,"Guard us, O Agni, from the hated demon, guard us from malice of the churlish sinner:",पाहि नो अग्ने रक्षसो अजुष्टात्पाहि धूर्तेरररुषो अघायोः,7-1-13,pāhi | naḥ | agne | rakṣasaḥ | ajuṣṭāt | pāhi | dhūrteḥ | araruṣaḥ | agha-yoḥ || tvā | yujā | pr̥tanā-yūn | abhi | syām ||7.1.13||,
7,1,13,b,7-1-13-B,tvā yujā pṛtanāyūm̐r abhi ṣyām,Allied with thee may I subdue assailants.,त्वा युजा पृतनायूँरभि ष्याम् ,7-1-13,pāhi | naḥ | agne | rakṣasaḥ | ajuṣṭāt | pāhi | dhūrteḥ | araruṣaḥ | agha-yoḥ || tvā | yujā | pr̥tanā-yūn | abhi | syām ||7.1.13||,
7,1,14,a,7-1-14-A,sed agnir agnīm̐r aty astv anyān yatra vājī tanayo vīḻupāṇiḥ,"May this same fire of mine surpass all others, this fire where offspring, vigorous and firm-handed,",सेदग्निरग्नीँरत्यस्त्वन्यान्यत्र वाजी तनयो वीळुपाणिः,7-1-14,saḥ | it | agniḥ | agnīn | ati | astu | anyān | yatra | vājī | tanayaḥ | vīḷu-pāṇiḥ || sahasra-pāthāḥ | akṣarā | sam-eti ||7.1.14||,
7,1,14,b,7-1-14-B,sahasrapāthā akṣarā sameti,"Wins, on a thousand paths, what ne'er shall perish.",सहस्रपाथा अक्षरा समेति ,7-1-14,saḥ | it | agniḥ | agnīn | ati | astu | anyān | yatra | vājī | tanayaḥ | vīḷu-pāṇiḥ || sahasra-pāthāḥ | akṣarā | sam-eti ||7.1.14||,
7,1,15,a,7-1-15-A,sed agnir yo vanuṣyato nipāti sameddhāram aṁhasa uruṣyāt,"This is that Agni, saviour from the foeman, who guards the kindler of the flame from sorrow:",सेदग्निर्यो वनुष्यतो निपाति समेद्धारमंहस उरुष्यात्,7-1-15,saḥ | it | agniḥ | yaḥ | vanuṣyataḥ | ni-pāti | sam-eddhāram | aṁhasaḥ | uruṣyāt || su-jātāsaḥ | pari | caranti | vīrāḥ ||7.1.15||,
7,1,15,b,7-1-15-B,sujātāsaḥ pari caranti vīrāḥ,Heroes of noble lineage serve and tend him.,सुजातासः परि चरन्ति वीराः ,7-1-15,saḥ | it | agniḥ | yaḥ | vanuṣyataḥ | ni-pāti | sam-eddhāram | aṁhasaḥ | uruṣyāt || su-jātāsaḥ | pari | caranti | vīrāḥ ||7.1.15||,
7,1,16,a,7-1-16-A,ayaṁ so agnir āhutaḥ purutrā yam īśānaḥ sam id indhe haviṣmān,"This is that Agni, served in many places, whom the rich lord who brings oblation kindles,",अयं सो अग्निराहुतः पुरुत्रा यमीशानः समिदिन्धे हविष्मान्,7-1-16,ayam | saḥ | agniḥ | ā-hutaḥ | puru-trā | yam | īśānaḥ | sam | it | indhe | haviṣmān || pari | yam | eti | adhvareṣu | hotā ||7.1.16||,
7,1,16,b,7-1-16-B,pari yam ety adhvareṣu hotā,And round him goes the priest at sacrifices.,परि यमेत्यध्वरेषु होता ,7-1-16,ayam | saḥ | agniḥ | ā-hutaḥ | puru-trā | yam | īśānaḥ | sam | it | indhe | haviṣmān || pari | yam | eti | adhvareṣu | hotā ||7.1.16||,
7,1,17,a,7-1-17-A,tve agna āhavanāni bhūrīśānāsa ā juhuyāma nityā,"Agni, may we with riches in possession bring thee continual ofierings in abundance,",त्वे अग्न आहवनानि भूरीशानास आ जुहुयाम नित्या,7-1-17,tve iti | agne | ā-havanāni | bhūri | īśānāsaḥ | ā | juhuyāma | nityā || ubhā | kr̥ṇvantaḥ | vahatū iti | miyedhe ||7.1.17||,
7,1,17,b,7-1-17-B,ubhā kṛṇvanto vahatū miyedhe,Using both means to draw thee to our worship.,उभा कृण्वन्तो वहतू मियेधे ,7-1-17,tve iti | agne | ā-havanāni | bhūri | īśānāsaḥ | ā | juhuyāma | nityā || ubhā | kr̥ṇvantaḥ | vahatū iti | miyedhe ||7.1.17||,
7,1,18,a,7-1-18-A,imo agne vītatamāni havyājasro vakṣi devatātim accha,"Agni, bear thou, Eternal, these most welcome oblations to the Deities' assembly:",इमो अग्ने वीततमानि हव्याजस्रो वक्षि देवतातिमच्छ,7-1-18,imo iti | agne | vīta-tamāni | havyā | ajasraḥ | vakṣi | deva-tātim | iccha || prati | naḥ | īm | surabhīṇi | vyantu ||7.1.18||,
7,1,18,b,7-1-18-B,prati na īṁ surabhīṇi vyantu,Let them enjoy our very fragrant presents.,प्रति न ईं सुरभीणि व्यन्तु ,7-1-18,imo iti | agne | vīta-tamāni | havyā | ajasraḥ | vakṣi | deva-tātim | iccha || prati | naḥ | īm | surabhīṇi | vyantu ||7.1.18||,
7,1,19,a,7-1-19-A,mā no agne 'vīrate parā dā durvāsase 'mataye mā no asyai,"Give us not up, Agni, to want of heroes, to wretched clothes, to need, to destitution.",मा नो अग्नेऽवीरते परा दा दुर्वाससेऽमतये मा नो अस्यै,7-1-19,mā | naḥ | agne | avīrate | parā | dāḥ | duḥ-vāsase | amataye | mā | naḥ | asyai || mā | naḥ | kṣudhe | mā | rakṣase | r̥ta-vaḥ | mā | naḥ | dame | mā | vane | ā | juhūrthāḥ ||7.1.19||,
7,1,19,b,7-1-19-B,mā naḥ kṣudhe mā rakṣasa ṛtāvo mā no dame mā vana ā juhūrthāḥ,"Yield us not, Holy One, to fiend or hunger; injure us not at home or in the forest.",मा नः क्षुधे मा रक्षस ऋतावो मा नो दमे मा वन आ जुहूर्थाः ,7-1-19,mā | naḥ | agne | avīrate | parā | dāḥ | duḥ-vāsase | amataye | mā | naḥ | asyai || mā | naḥ | kṣudhe | mā | rakṣase | r̥ta-vaḥ | mā | naḥ | dame | mā | vane | ā | juhūrthāḥ ||7.1.19||,
7,1,20,a,7-1-20-A,nū me brahmāṇy agna uc chaśādhi tvaṁ deva maghavadbhyaḥ suṣūdaḥ,"Give strength and power to these my prayers, O Agni; O God, pour blessings on our chiefs and nobles.",नू मे ब्रह्माण्यग्न उच्छशाधि त्वं देव मघवद्भ्यः सुषूदः,7-1-20,nu | me | brahmāṇi | agne | ut | śaśādhi | tvam | deva | maghavat-bhyaḥ | susūdaḥ || rātau | syāma | ubhayāsaḥ | ā | te | yūyam | pāta | svasti-bhiḥ | sadā | naḥ ||7.1.20||,
7,1,20,b,7-1-20-B,rātau syāmobhayāsa ā te yūyam pāta svastibhiḥ sadā naḥ,"Grant that both we and they may share thy bounty. Ye Gods, protect us evermore with blessings.",रातौ स्यामोभयास आ ते यूयं पात स्वस्तिभिः सदा नः ,7-1-20,nu | me | brahmāṇi | agne | ut | śaśādhi | tvam | deva | maghavat-bhyaḥ | susūdaḥ || rātau | syāma | ubhayāsaḥ | ā | te | yūyam | pāta | svasti-bhiḥ | sadā | naḥ ||7.1.20||,
7,1,21,a,7-1-21-A,tvam agne suhavo raṇvasaṁdṛk sudītī sūno sahaso didīhi,"Thou Agni, swift to hear, art fair of aspect: beam forth, O Son of Strength, in full effulgence.",त्वमग्ने सुहवो रण्वसंदृक्सुदीती सूनो सहसो दिदीहि,7-1-21,tvam | agne | su-havaḥ | raṇva-saṁdr̥k | su-dītī | sūno iti | sahasaḥ | didīhi || mā | tve iti | sacā | tanaye | nitye | ā | dhak | mā | vīraḥ | asmat | naryaḥ | vi | dāsīt ||7.1.21||,
7,1,21,b,7-1-21-B,mā tve sacā tanaye nitya ā dhaṅ mā vīro asman naryo vi dāsīt,"Let me not want, with thee, a son for ever: let not a manly hero ever fail us.",मा त्वे सचा तनये नित्य आ धङ्मा वीरो अस्मन्नर्यो वि दासीत् ,7-1-21,tvam | agne | su-havaḥ | raṇva-saṁdr̥k | su-dītī | sūno iti | sahasaḥ | didīhi || mā | tve iti | sacā | tanaye | nitye | ā | dhak | mā | vīraḥ | asmat | naryaḥ | vi | dāsīt ||7.1.21||,
7,1,22,a,7-1-22-A,mā no agne durbhṛtaye sacaiṣu deveddheṣv agniṣu pra vocaḥ,"Condemn us not to indigence, O Agni, beside these flaming fires which Gods have kindled;",मा नो अग्ने दुर्भृतये सचैषु देवेद्धेष्वग्निषु प्र वोचः,7-1-22,mā | naḥ | agne | duḥ-bhr̥taye | sacā | eṣu | deva-iddheṣu | agniṣu | pra | vocaḥ || mā | te | asmān | duḥ-matayaḥ | bhr̥māt | cit | devasya | sūno iti | sahasaḥ | naśanta ||7.1.22||,
7,1,22,b,7-1-22-B,mā te asmān durmatayo bhṛmāc cid devasya sūno sahaso naśanta,"Nor, even after fault, let thy displeasure, thine as a God, O Son of Strength, o'ertake us.",मा ते अस्मान्दुर्मतयो भृमाच्चिद्देवस्य सूनो सहसो नशन्त ,7-1-22,mā | naḥ | agne | duḥ-bhr̥taye | sacā | eṣu | deva-iddheṣu | agniṣu | pra | vocaḥ || mā | te | asmān | duḥ-matayaḥ | bhr̥māt | cit | devasya | sūno iti | sahasaḥ | naśanta ||7.1.22||,
7,1,23,a,7-1-23-A,sa marto agne svanīka revān amartye ya ājuhoti havyam,"O Agni, fair of face, the wealthy mortal who to the Immortal offers his oblation.",स मर्तो अग्ने स्वनीक रेवानमर्त्ये य आजुहोति हव्यम्,7-1-23,saḥ | martaḥ | agne | su-anīka | revān | amartye | yaḥ | ā-juhoti | havyam || saḥ | devatā | vasu-vanim | dadhāti | yam | sūriḥ | arthī | pr̥cchamānaḥ | eti ||7.1.23||,
7,1,23,b,7-1-23-B,sa devatā vasuvaniṁ dadhāti yaṁ sūrir arthī pṛcchamāna eti,"Hath him who wins him treasure by his Godhead, to whom the prince, in need, goes supplicating.",स देवता वसुवनिं दधाति यं सूरिरर्थी पृच्छमान एति ,7-1-23,saḥ | martaḥ | agne | su-anīka | revān | amartye | yaḥ | ā-juhoti | havyam || saḥ | devatā | vasu-vanim | dadhāti | yam | sūriḥ | arthī | pr̥cchamānaḥ | eti ||7.1.23||,
7,1,24,a,7-1-24-A,maho no agne suvitasya vidvān rayiṁ sūribhya ā vahā bṛhantam,"Knowing our chief felicity, O Agni, bring hither ample riches to our nobles,",महो नो अग्ने सुवितस्य विद्वान्रयिं सूरिभ्य आ वहा बृहन्तम्,7-1-24,mahaḥ | naḥ | agne | suvitasya | vidvān | rayim | sūri-bhyaḥ | ā | vaha | br̥hantam || yena | vayam | sahasā-van | madema | avi-kṣitāsaḥ | āyuṣā | su-vīrāḥ ||7.1.24||,
7,1,24,b,7-1-24-B,yena vayaṁ sahasāvan mademāvikṣitāsa āyuṣā suvīrāḥ,"Wherewith we may enjoy ourselves, O Victor, with undiminished life and hero children.",येन वयं सहसावन्मदेमाविक्षितास आयुषा सुवीराः ,7-1-24,mahaḥ | naḥ | agne | suvitasya | vidvān | rayim | sūri-bhyaḥ | ā | vaha | br̥hantam || yena | vayam | sahasā-van | madema | avi-kṣitāsaḥ | āyuṣā | su-vīrāḥ ||7.1.24||,
7,1,25,a,7-1-25-A,nū me brahmāṇy agna uc chaśādhi tvaṁ deva maghavadbhyaḥ suṣūdaḥ,"Give strength and power to these my prayers, O Agni; O God, pour blessings on bur chiefs and nobles.",नू मे ब्रह्माण्यग्न उच्छशाधि त्वं देव मघवद्भ्यः सुषूदः,7-1-25,nu | me | brahmāṇi | agne | ut | śaśādhi | tvam | deva | maghavat-bhyaḥ | susūdaḥ || rātau | syāma | ubhayāsaḥ | ā | te | yūyam | pāta | svasti-bhiḥ | sadā | naḥ ||7.1.25||,
7,1,25,b,7-1-25-B,rātau syāmobhayāsa ā te yūyam pāta svastibhiḥ sadā naḥ,"Grant that both we and they may share thy bounty. Ye Gods, protect us evermore with blessings.",रातौ स्यामोभयास आ ते यूयं पात स्वस्तिभिः सदा नः ,7-1-25,nu | me | brahmāṇi | agne | ut | śaśādhi | tvam | deva | maghavat-bhyaḥ | susūdaḥ || rātau | syāma | ubhayāsaḥ | ā | te | yūyam | pāta | svasti-bhiḥ | sadā | naḥ ||7.1.25||,
7,2,1,a,7-2-1-A,juṣasva naḥ samidham agne adya śocā bṛhad yajataṁ dhūmam ṛṇvan,"GLADLY accept, this day, our fuel, Agni: send up thy sacred smoke and shine sublimely.",जुषस्व नः समिधमग्ने अद्य शोचा बृहद्यजतं धूममृण्वन्,7-2-1,juṣasva | naḥ | sam-idham | agne | adya | śoca | br̥hat | yajatam | dhūmam | r̥ṇvan || upa | spr̥śa | divyam | sānu | stūpaiḥ | sam | raśmi-bhiḥ | tatanaḥ | sūryasya ||7.2.1||,
7,2,1,b,7-2-1-B,upa spṛśa divyaṁ sānu stūpaiḥ saṁ raśmibhis tatanaḥ sūryasya,"Touch the celestial summits with thy columns, and overspread thee with the rays of Surya.",उप स्पृश दिव्यं सानु स्तूपैः सं रश्मिभिस्ततनः सूर्यस्य ,7-2-1,juṣasva | naḥ | sam-idham | agne | adya | śoca | br̥hat | yajatam | dhūmam | r̥ṇvan || upa | spr̥śa | divyam | sānu | stūpaiḥ | sam | raśmi-bhiḥ | tatanaḥ | sūryasya ||7.2.1||,
7,2,2,a,7-2-2-A,narāśaṁsasya mahimānam eṣām upa stoṣāma yajatasya yajñaiḥ,With sacrifice to these we men will honour the majesty of holy Narasamsa-,नराशंसस्य महिमानमेषामुप स्तोषाम यजतस्य यज्ञैः,7-2-2,narāśaṁsasya | mahimānam | eṣām | upa | stoṣāma | yajatasya | yajñaiḥ || ye | su-kratavaḥ | śucayaḥ | dhiyam-dhāḥ | svadanti | devāḥ | ubhayāni | havyā ||7.2.2||,
7,2,2,b,7-2-2-B,ye sukratavaḥ śucayo dhiyaṁdhāḥ svadanti devā ubhayāni havyā,"To these the pure, most wise, the thought. inspirers, Gods who enjoy both sorts of our oblations.",ये सुक्रतवः शुचयो धियंधाः स्वदन्ति देवा उभयानि हव्या ,7-2-2,narāśaṁsasya | mahimānam | eṣām | upa | stoṣāma | yajatasya | yajñaiḥ || ye | su-kratavaḥ | śucayaḥ | dhiyam-dhāḥ | svadanti | devāḥ | ubhayāni | havyā ||7.2.2||,
7,2,3,a,7-2-3-A,īḻenyaṁ vo asuraṁ sudakṣam antar dūtaṁ rodasī satyavācam,"We will extol at sacrifice for ever, as men may do, Agni whom Manu kindled,",ईळेन्यं वो असुरं सुदक्षमन्तर्दूतं रोदसी सत्यवाचम्,7-2-3,īḷenyam | vaḥ | asuram | su-dakṣam | antaḥ | dūtam | rodasī iti | satya-vācam || manuṣvat | agnim | manunā | sam-iddham | sam | adhvarāya | sadam | it | mahema ||7.2.3||,
7,2,3,b,7-2-3-B,manuṣvad agnim manunā samiddhaṁ sam adhvarāya sadam in mahema,"Your very skilful Asura, meet for worship, envoy between both worlds, the truthful speaker.",मनुष्वदग्निं मनुना समिद्धं समध्वराय सदमिन्महेम ,7-2-3,īḷenyam | vaḥ | asuram | su-dakṣam | antaḥ | dūtam | rodasī iti | satya-vācam || manuṣvat | agnim | manunā | sam-iddham | sam | adhvarāya | sadam | it | mahema ||7.2.3||,
7,2,4,a,7-2-4-A,saparyavo bharamāṇā abhijñu pra vṛñjate namasā barhir agnau,"Bearing the sacred grass, the men who serve him strew it with reverence, on their knees, by Agni.",सपर्यवो भरमाणा अभिज्ञु प्र वृञ्जते नमसा बर्हिरग्नौ,7-2-4,saparyavaḥ | bharamāṇāḥ | abhi-jñu | pra | vr̥ñjate | namasā | barhiḥ | agnau || ā-juhvānāḥ | ghr̥ta-pr̥ṣṭham | pr̥ṣat-vat | adhvaryavaḥ | haviṣā | marjayadhvam ||7.2.4||,
7,2,4,b,7-2-4-B,ājuhvānā ghṛtapṛṣṭham pṛṣadvad adhvaryavo haviṣā marjayadhvam,"Calling him to the spotted grass, oil-sprinkled, adorn him, ye Adhvaryus, with oblation.",आजुह्वाना घृतपृष्ठं पृषद्वदध्वर्यवो हविषा मर्जयध्वम् ,7-2-4,saparyavaḥ | bharamāṇāḥ | abhi-jñu | pra | vr̥ñjate | namasā | barhiḥ | agnau || ā-juhvānāḥ | ghr̥ta-pr̥ṣṭham | pr̥ṣat-vat | adhvaryavaḥ | haviṣā | marjayadhvam ||7.2.4||,
7,2,5,a,7-2-5-A,svādhyo vi duro devayanto 'śiśrayū rathayur devatātā,With holy thoughts the pious have thrown open Doors fain for chariots in the Gods' assembly.,स्वाध्यो वि दुरो देवयन्तोऽशिश्रयू रथयुर्देवताता,7-2-5,su-ādhyaḥ | vi | duraḥ | deva-yantaḥ | aśiśrayuḥ | ratha-yuḥ | deva-tātā || pūrvī iti | śiśum | na | mātarā | rihāṇe iti | sam | agruvaḥ | na | samaneṣu | añjan ||7.2.5||,
7,2,5,b,7-2-5-B,pūrvī śiśuṁ na mātarā rihāṇe sam agruvo na samaneṣv añjan,"Like two full mother cows who lick their youngling, like maidens for the gathering, they adorn them.",पूर्वी शिशुं न मातरा रिहाणे समग्रुवो न समनेष्वञ्जन् ,7-2-5,su-ādhyaḥ | vi | duraḥ | deva-yantaḥ | aśiśrayuḥ | ratha-yuḥ | deva-tātā || pūrvī iti | śiśum | na | mātarā | rihāṇe iti | sam | agruvaḥ | na | samaneṣu | añjan ||7.2.5||,
7,2,6,a,7-2-6-A,uta yoṣaṇe divye mahī na uṣāsānaktā sudugheva dhenuḥ,"And let the two exalted Heavenly Ladies, Morning and Night, like a cow good at milking,",उत योषणे दिव्ये मही न उषासानक्ता सुदुघेव धेनुः,7-2-6,uta | yoṣaṇe iti | divye iti | mahī iti | naḥ | uṣasānaktā | sudughā-iva | dhenuḥ || barhi-sadā | puruhūte iti puru-hūte | maghonī iti | ā | yajñiye iti | suvitāya | śrayetām ||7.2.6||,
